"Entry.name" "Gene.names"
"249" "ABCG4_HUMAN" "ABCG4 WHITE2"
"250" "ABCG5_HUMAN" "ABCG5"
"251" "ABCG8_HUMAN" "ABCG8"
"252" "ABD12_HUMAN" "ABHD12 C20orf22"
"253" "ABEC1_HUMAN" "APOBEC1"
"254" "ABEC2_HUMAN" "APOBEC2"
"255" "ABEC4_HUMAN" "APOBEC4 C1orf169"
"256" "ABH15_HUMAN" "ABHD15 UNQ6510/PRO21435"
"257" "ABHD1_HUMAN" "ABHD1 LABH1"
"258" "ABHD2_HUMAN" "ABHD2 LABH2"
"259" "ABHD3_HUMAN" "ABHD3 LABH3"
"260" "ABHD4_HUMAN" "ABHD4"
"261" "ABHD5_HUMAN" "ABHD5 NCIE2 CGI-58"
"262" "ABHD6_HUMAN" "ABHD6"
"263" "ABHD8_HUMAN" "ABHD8"
"264" "ABHDA_HUMAN" "ABHD10"
"265" "ABHDB_HUMAN" "ABHD11 WBSCR21 PP1226"
"266" "ABHDD_HUMAN" "ABHD13 C13orf6"
"267" "ABHEA_HUMAN" "ABHD14A UNQ1913/PRO4373"
"268" "ABHEB_HUMAN" "ABHD14B CIB"
"269" "ABHGA_HUMAN" "ABHD16A BAT5 G5 NG26 PP199"
"270" "ABHGB_HUMAN" "ABHD16B C20orf135"
"271" "ABI1_HUMAN" "ABI1 SSH3BP1"
"272" "ABI2_HUMAN" "ABI2 ARGBPIA"
"273" "ABI3_HUMAN" "ABI3 NESH"
"274" "ABL1_HUMAN" "ABL1 ABL JTK7"
"275" "ABL2_HUMAN" "ABL2 ABLL ARG"
"276" "ABLM1_HUMAN" "ABLIM1 ABLIM KIAA0059 LIMAB1"
"277" "ABLM2_HUMAN" "ABLIM2 KIAA1808"
"278" "ABLM3_HUMAN" "ABLIM3 KIAA0843 HMFN1661"
"279" "ABP1_HUMAN" "ABP1 AOC1 DAO1"
"280" "ABRAL_HUMAN" "ABRACL C6orf115 HSPC280 PRO2013"
"281" "ABRA_HUMAN" "ABRA"
"282" "ABR_HUMAN" "ABR"
"283" "ABT1_HUMAN" "ABT1"
"284" "ABTB1_HUMAN" "ABTB1 BPOZ PP2259"
"285" "ABTB2_HUMAN" "ABTB2"
"286" "ACACA_HUMAN" "ACACA ACAC ACC1 ACCA"
"287" "ACACB_HUMAN" "ACACB ACC2 ACCB"
"288" "ACAD8_HUMAN" "ACAD8 ARC42 IBD"
"289" "ACAD9_HUMAN" "ACAD9"
"290" "ACADL_HUMAN" "ACADL"
"291" "ACADM_HUMAN" "ACADM"
"292" "ACADS_HUMAN" "ACADS"
"293" "ACADV_HUMAN" "ACADVL VLCAD"
"294" "ACAP1_HUMAN" "ACAP1 CENTB1 KIAA0050"
"295" "ACAP2_HUMAN" "ACAP2 CENTB2 KIAA0041"
"296" "ACAP3_HUMAN" "ACAP3 CENTB5 KIAA1716"
"297" "ACATN_HUMAN" "SLC33A1 ACATN AT1"
"298" "ACBD4_HUMAN" "ACBD4 HMFT0700"
"299" "ACBD5_HUMAN" "ACBD5 KIAA1996"
"300" "ACBD6_HUMAN" "ACBD6"
"301" "ACBD7_HUMAN" "ACBD7"
"302" "ACBG1_HUMAN" "ACSBG1 BGM KIAA0631 LPD"
"303" "ACBG2_HUMAN" "ACSBG2 BGR UNQ2443/PRO5005"
"304" "ACBP_HUMAN" "DBI"
"305" "ACD10_HUMAN" "ACAD10"
"306" "ACD11_HUMAN" "ACAD11"
"307" "ACDSB_HUMAN" "ACADSB"
"308" "ACD_HUMAN" "ACD PIP1 PTOP TINT1 TPP1"
"309" "ACE2_HUMAN" "ACE2 UNQ868/PRO1885"
"310" "ACER1_HUMAN" "ACER1 ASAH3"
"311" "ACER2_HUMAN" "ACER2 ASAH3L PP11646"
"312" "ACER3_HUMAN" "ACER3 APHC PHCA"
"313" "ACES_HUMAN" "ACHE"
"314" "ACE_HUMAN" "ACE DCP DCP1"
"315" "ACH10_HUMAN" "CHRNA10 NACHRA10"
"316" "ACHA2_HUMAN" "CHRNA2"
"317" "ACHA3_HUMAN" "CHRNA3 NACHRA3"
"318" "ACHA4_HUMAN" "CHRNA4 NACRA4"
"319" "ACHA5_HUMAN" "CHRNA5 NACHRA5"
"320" "ACHA6_HUMAN" "CHRNA6"
"321" "ACHA7_HUMAN" "CHRNA7 NACHRA7"
"322" "ACHA9_HUMAN" "CHRNA9 NACHRA9"
"323" "ACHA_HUMAN" "CHRNA1 ACHRA CHNRA"
"324" "ACHB2_HUMAN" "CHRNB2"
"325" "ACHB3_HUMAN" "CHRNB3"
"326" "ACHB4_HUMAN" "CHRNB4"
"327" "ACHB_HUMAN" "CHRNB1 ACHRB CHRNB"
"328" "ACHD_HUMAN" "CHRND ACHRD"
"329" "ACHE_HUMAN" "CHRNE ACHRE"
"330" "ACHG_HUMAN" "CHRNG ACHRG"
"331" "ACINU_HUMAN" "ACIN1 ACINUS KIAA0670"
"332" "ACK1_HUMAN" "TNK2 ACK1"
"333" "ACL10_HUMAN" "ACTL10 C20orf134"
"334" "ACL6A_HUMAN" "ACTL6A BAF53 BAF53A INO80K"
"335" "ACL6B_HUMAN" "ACTL6B ACTL6 BAF53B"
"336" "ACL7A_HUMAN" "ACTL7A"
"337" "ACL7B_HUMAN" "ACTL7B"
"338" "ACLY_HUMAN" "ACLY"
"339" "ACM1_HUMAN" "CHRM1"
"340" "ACM2_HUMAN" "CHRM2"
"341" "ACM3_HUMAN" "CHRM3"
"342" "ACM4_HUMAN" "CHRM4"
"343" "ACM5_HUMAN" "CHRM5"
"344" "ACMSD_HUMAN" "ACMSD"
"345" "ACN9_HUMAN" "ACN9 DC11"
"346" "ACO11_HUMAN" "ACOT11 BFIT KIAA0707 THEA"
"347" "ACO12_HUMAN" "ACOT12 CACH CACH1 STARD15"
"348" "ACO13_HUMAN" "ACOT13 THEM2 HT012 PNAS-27"
"349" "ACO15_HUMAN" "THEM5 ACOT15"
"350" "ACOC_HUMAN" "ACO1 IREB1"
"351" "ACOD_HUMAN" "SCD"
"352" "ACON_HUMAN" "ACO2"
"353" "ACOT1_HUMAN" "ACOT1 CTE1"
"354" "ACOT2_HUMAN" "ACOT2 PTE2 PTE2A"
"355" "ACOT4_HUMAN" "ACOT4 PTE2B PTEIB"
"356" "ACOT6_HUMAN" "ACOT6 C14orf42"
"357" "ACOT8_HUMAN" "ACOT8 ACTEIII PTE1 PTE2"
"358" "ACOT9_HUMAN" "ACOT9 CGI-16"
"359" "ACOX1_HUMAN" "ACOX1 ACOX"
"360" "ACOX2_HUMAN" "ACOX2"
"361" "ACOX3_HUMAN" "ACOX3 BRCOX PRCOX"
"362" "ACOXL_HUMAN" "ACOXL"
"363" "ACPH_HUMAN" "APEH D3F15S2 D3S48E DNF15S2"
"364" "ACPL2_HUMAN" "ACPL2 UNQ370/PRO706"
"365" "ACPM_HUMAN" "NDUFAB1"
"366" "ACRBP_HUMAN" "ACRBP"
"367" "ACRC_HUMAN" "ACRC"
"368" "ACRO_HUMAN" "ACR ACRS"
"369" "ACS2A_HUMAN" "ACSM2A ACSM2 MACS2"
"370" "ACS2B_HUMAN" "ACSM2B ACSM2 HYST1046"
"371" "ACS2L_HUMAN" "ACSS1 ACAS2L KIAA1846"
"372" "ACSA_HUMAN" "ACSS2 ACAS2"
"373" "ACSF2_HUMAN" "ACSF2 UNQ493/PRO1009"
"374" "ACSF3_HUMAN" "ACSF3 PSEC0197"
"375" "ACSF4_HUMAN" "AASDH ACSF4 U26 HSPC318"
"376" "ACSL1_HUMAN" "ACSL1 FACL1 FACL2 LACS LACS1 LACS2"
"377" "ACSL3_HUMAN" "ACSL3 ACS3 FACL3 LACS3"
"378" "ACSL4_HUMAN" "ACSL4 ACS4 FACL4 LACS4"
"379" "ACSL5_HUMAN" "ACSL5 ACS5 FACL5 UNQ633/PRO1250"
"380" "ACSL6_HUMAN" "ACSL6 ACS2 FACL6 KIAA0837 LACS5"
"381" "ACSM1_HUMAN" "ACSM1 BUCS1 LAE MACS1"
"382" "ACSM3_HUMAN" "ACSM3 SAH"
"383" "ACSM4_HUMAN" "ACSM4"
"384" "ACSM5_HUMAN" "ACSM5 MACS3"
"385" "ACSM6_HUMAN" "ACSM6 C10orf129"
"386" "ACSS3_HUMAN" "ACSS3"
"387" "ACTA_HUMAN" "ACTA2 ACTSA ACTVS GIG46"
"388" "ACTBL_HUMAN" "ACTBL2"
"389" "ACTBM_HUMAN" "POTEKP ACTBL3 FKSG30"
"390" "ACTB_HUMAN" "ACTB"
"391" "ACTC_HUMAN" "ACTC1 ACTC"
"392" "ACTG_HUMAN" "ACTG1 ACTB ACTG"
"393" "ACTHR_HUMAN" "MC2R ACTHR"
"394" "ACTH_HUMAN" "ACTG2 ACTA3 ACTL3 ACTSG"
"395" "ACTL8_HUMAN" "ACTL8"
"396" "ACTL9_HUMAN" "ACTL9 ACTL7C HSD21"
"397" "ACTN1_HUMAN" "ACTN1"
"398" "ACTN2_HUMAN" "ACTN2"
"399" "ACTN3_HUMAN" "ACTN3"
"400" "ACTN4_HUMAN" "ACTN4"
"401" "ACTS_HUMAN" "ACTA1 ACTA"
"402" "ACTT1_HUMAN" "ACTRT1 ARPT1 HSD27"
"403" "ACTT2_HUMAN" "ACTRT2 ARPM2"
"404" "ACTT3_HUMAN" "ACTRT3 ARPM1"
"405" "ACTY_HUMAN" "ACTR1B CTRN2"
"406" "ACTZ_HUMAN" "ACTR1A CTRN1"
"407" "ACV1B_HUMAN" "ACVR1B ACVRLK4 ALK4"
"408" "ACV1C_HUMAN" "ACVR1C ALK7"
"409" "ACVL1_HUMAN" "ACVRL1 ACVRLK1 ALK1"
"410" "ACVR1_HUMAN" "ACVR1 ACVRLK2"
"411" "ACY1_HUMAN" "ACY1"
"412" "ACY2_HUMAN" "ASPA ACY2 ASP"
"413" "ACY3_HUMAN" "ACY3 ASPA2"
"414" "ACYP1_HUMAN" "ACYP1 ACYPE"
"415" "ACYP2_HUMAN" "ACYP2 ACYP"
"416" "ADA10_HUMAN" "ADAM10 KUZ MADM"
"417" "ADA11_HUMAN" "ADAM11 MDC"
"418" "ADA12_HUMAN" "ADAM12 MLTN UNQ346/PRO545"
"419" "ADA15_HUMAN" "ADAM15 MDC15"
"420" "ADA17_HUMAN" "ADAM17 CSVP TACE"
"421" "ADA18_HUMAN" "ADAM18 TMDC3 UNQ858/PRO1867"
"422" "ADA19_HUMAN" "ADAM19 MLTNB FKSG34"
"423" "ADA1A_HUMAN" "ADRA1A ADRA1C"
"424" "ADA1B_HUMAN" "ADRA1B"
"425" "ADA1D_HUMAN" "ADRA1D ADRA1A"
"426" "ADA20_HUMAN" "ADAM20"
"427" "ADA21_HUMAN" "ADAM21"
"428" "ADA22_HUMAN" "ADAM22 MDC2"
"429" "ADA23_HUMAN" "ADAM23 MDC3"
"430" "ADA28_HUMAN" "ADAM28 ADAM23 MDCL"
"431" "ADA29_HUMAN" "ADAM29"
"432" "ADA2A_HUMAN" "ADRA2A ADRA2R ADRAR"
"433" "ADA2B_HUMAN" "ADRA2B ADRA2L1 ADRA2RL1"
"434" "ADA2C_HUMAN" "ADRA2C ADRA2L2 ADRA2RL2"
"435" "ADA30_HUMAN" "ADAM30 UNQ2509/PRO5997"
"436" "ADA32_HUMAN" "ADAM32 UNQ5982/PRO21340"
"437" "ADA33_HUMAN" "ADAM33 C20orf153 UNQ873/PRO1891"
"438" "ADAD1_HUMAN" "ADAD1 TENR"
"439" "ADAD2_HUMAN" "ADAD2 TENRL"
"440" "ADAL_HUMAN" "ADAL"
"441" "ADAM2_HUMAN" "ADAM2 FTNB"
"442" "ADAM5_HUMAN" "ADAM5 ADAM5P TMDC2"
"443" "ADAM7_HUMAN" "ADAM7 GP83"
"444" "ADAM8_HUMAN" "ADAM8 MS2"
"445" "ADAM9_HUMAN" "ADAM9 KIAA0021 MCMP MDC9 MLTNG"
"446" "ADAP1_HUMAN" "ADAP1 CENTA1"
"447" "ADAP2_HUMAN" "ADAP2 CENTA2"
"448" "ADAS1_HUMAN" "ADARB2-AS1 C10orf109 NCRNA00168"
"449" "ADAS_HUMAN" "AGPS AAG5"
"450" "ADAT1_HUMAN" "ADAT1"
"451" "ADAT2_HUMAN" "ADAT2 DEADC1"
"452" "ADAT3_HUMAN" "ADAT3"
"453" "ADA_HUMAN" "ADA ADA1"
"454" "ADCK1_HUMAN" "ADCK1"
"455" "ADCK2_HUMAN" "ADCK2 AARF"
"456" "ADCK3_HUMAN" "ADCK3 CABC1 PP265"
"457" "ADCK4_HUMAN" "ADCK4"
"458" "ADCK5_HUMAN" "ADCK5"
"459" "ADCL2_HUMAN" "AADACL2"
"460" "ADCL3_HUMAN" "AADACL3"
"461" "ADCL4_HUMAN" "AADACL4"
"462" "ADCY1_HUMAN" "ADCY1"
"463" "ADCY2_HUMAN" "ADCY2 KIAA1060"
"464" "ADCY3_HUMAN" "ADCY3 KIAA0511"
"465" "ADCY4_HUMAN" "ADCY4"
"466" "ADCY5_HUMAN" "ADCY5"
"467" "ADCY6_HUMAN" "ADCY6 KIAA0422"
"468" "ADCY7_HUMAN" "ADCY7 KIAA0037"
"469" "ADCY8_HUMAN" "ADCY8"
"470" "ADCY9_HUMAN" "ADCY9 KIAA0520"
"471" "ADCYA_HUMAN" "ADCY10 SAC"
"472" "ADC_HUMAN" "ADC KIAA1945 ODCP"
"473" "ADDA_HUMAN" "ADD1 ADDA"
"474" "ADDB_HUMAN" "ADD2 ADDB"
"475" "ADDG_HUMAN" "ADD3 ADDL"
"476" "ADEC1_HUMAN" "ADAMDEC1"
"477" "ADGB_HUMAN" "ADGB C6orf103 CAPN7L"
"478" "ADH1A_HUMAN" "ADH1A ADH1"
"479" "ADH1B_HUMAN" "ADH1B ADH2"
"480" "ADH1G_HUMAN" "ADH1C ADH3"
"481" "ADH4_HUMAN" "ADH4"
"482" "ADH6_HUMAN" "ADH6"
"483" "ADH7_HUMAN" "ADH7"
